timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851317788,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851318788,61649,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851318788,10859,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851318788,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851319788,61664,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851319788,16313,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851319788,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851320789,61646,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851320789,9820,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851320789,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851321789,61644,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851321789,10525,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851321789,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851322789,61644,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851322789,14417,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851322789,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851323790,61643,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851323790,10906,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851323790,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851324791,61642,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851324791,10549,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851324791,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851325791,61683,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851325791,13172,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851325791,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851326791,61685,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851326791,15150,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851326791,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851327792,61693,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851327792,14317,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
